Device_Name,Date,Level,Current_Raw_Count,Legacy_Count,Difference
设备58,2013-08-18 16:34:27,w_level3,1,0,1
设备58,2013-08-21 17:34:27,w_level3,1,0,1
设备58,2013-08-31 12:34:27,w_level3,1,0,1
设备58,2013-09-10 04:34:27,w_level3,1,0,1
设备58,2013-09-17 08:34:27,w_level1,1,0,1
设备58,2013-09-26 06:34:27,w_level2,6,5,1
设备58,2013-10-11 12:34:27,w_level1,1,0,1
设备58,2013-10-15 20:34:27,w_level2,10,9,1
设备58,2013-10-27 20:34:27,w_level3,1,0,1
设备58,2013-10-29 19:34:27,w_level1,2,1,1
设备58,2013-10-31 15:34:27,w_level1,1,0,1
设备58,2013-11-01 22:34:27,w_level1,2,1,1
设备58,2013-11-12 15:34:27,w_level1,2,1,1
设备58,2013-11-22 16:34:27,w_level1,2,1,1
设备58,2013-12-08 15:34:27,w_level1,2,1,1
